"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 06 23:32:40 GMT 2021","Thu May 06 23:32:40 GMT 2021","15","","[PRODUTOS] :: Listar Produtos","","","","/GET - Listar produtos pelo _id na URL que não existe",""
"passed","Thu May 06 23:32:39 GMT 2021","Thu May 06 23:32:39 GMT 2021","45","","[PRODUTOS] :: Deletar Produtos","","","","/DELETE - Deletar um produto que contenha um carrinho",""
"passed","Thu May 06 23:33:00 GMT 2021","Thu May 06 23:33:00 GMT 2021","15","","[USUÁRIOS] :: Cadastrar Usuários","","","","/POST - Cadastrar um usuário já cadastrado",""
"passed","Thu May 06 23:33:00 GMT 2021","Thu May 06 23:33:00 GMT 2021","63","","[USUÁRIOS] :: Cadastrar Usuários","","","","/POST - Cadastrar um usuário válido",""
"passed","Thu May 06 23:32:55 GMT 2021","Thu May 06 23:32:56 GMT 2021","37","","[USUÁRIOS] :: Listar Usuários","","","","/GET - Listar todos os usuários cadastrados",""
"passed","Thu May 06 23:32:25 GMT 2021","Thu May 06 23:32:25 GMT 2021","15","","[CARRINHOS] :: Listar Carrinhos","","","","/GET - Listar carrinhos cadastrados pelo preço total inválido",""
"passed","Thu May 06 23:32:56 GMT 2021","Thu May 06 23:32:56 GMT 2021","14","","[USUÁRIOS] :: Listar Usuários","","","","/GET - Listar usuários cadastrados pelo email",""
"passed","Thu May 06 23:32:34 GMT 2021","Thu May 06 23:32:34 GMT 2021","14","","[LOGIN] :: Realizar Login","","","","/POST - Realizar login com email inexistente",""
"passed","Thu May 06 23:33:00 GMT 2021","Thu May 06 23:33:00 GMT 2021","18","","[USUÁRIOS] :: Cadastrar Usuários","","","","/POST - Cadastrar um usuário sem nenhuma informação preenchida",""
"passed","Thu May 06 23:32:56 GMT 2021","Thu May 06 23:32:56 GMT 2021","15","","[USUÁRIOS] :: Listar Usuários","","","","/GET - Listar usuários com uma busca incorreta de: nome válido e email inválido",""
"passed","Thu May 06 23:32:30 GMT 2021","Thu May 06 23:32:30 GMT 2021","48","","[CARRINHOS] :: Cadastrar Carrinhos com Token de autorização","","","","/POST - Cadastrar um carrinho cujo a quantidade não seja suficiente",""
"passed","Thu May 06 23:32:56 GMT 2021","Thu May 06 23:32:56 GMT 2021","15","","[USUÁRIOS] :: Listar Usuários","","","","/GET - Listar usuários com uma busca incorreta de: nome sem parâmetro e email válido",""
"passed","Thu May 06 23:32:56 GMT 2021","Thu May 06 23:32:56 GMT 2021","15","","[USUÁRIOS] :: Listar Usuários","","","","/GET - Listar usuários cadastrados pelo nome",""
"passed","Thu May 06 23:32:46 GMT 2021","Thu May 06 23:32:46 GMT 2021","33","","[PRODUTOS] :: Cadastrar Produtos com Token de autorização","","","","/POST - Cadastrar um produto com o campo Descrição não sendo uma string",""
"passed","Thu May 06 23:33:05 GMT 2021","Thu May 06 23:33:05 GMT 2021","16","","[USUÁRIOS] :: Editar Usuários","","","","/PUT - Editar nome, email e senha de um usuário válido",""
"passed","Thu May 06 23:32:40 GMT 2021","Thu May 06 23:32:40 GMT 2021","16","","[PRODUTOS] :: Listar Produtos","","","","/GET - Listar produtos que não estão cadastrados pela descrição",""
"passed","Thu May 06 23:32:40 GMT 2021","Thu May 06 23:32:40 GMT 2021","16","","[PRODUTOS] :: Listar Produtos","","","","/GET - Listar produtos pelo _id na URL válido",""
"passed","Thu May 06 23:32:25 GMT 2021","Thu May 06 23:32:25 GMT 2021","37","","[CARRINHOS] :: Listar Carrinhos","","","","/GET - Listar todos os carrinhos cadastrados",""
"passed","Thu May 06 23:32:20 GMT 2021","Thu May 06 23:32:20 GMT 2021","92","","[CARRINHOS] :: Deletar Carrinhos quando ""Concluir uma Compra"" Token de autorização","","","","/DELETE - Deletar um carrinho quando ""concluir uma compra"" válido com utilização de token",""
"passed","Thu May 06 23:32:25 GMT 2021","Thu May 06 23:32:25 GMT 2021","14","","[CARRINHOS] :: Listar Carrinhos","","","","/GET - Listar carrinhos cadastrados pela quantidade total",""
"passed","Thu May 06 23:32:56 GMT 2021","Thu May 06 23:32:56 GMT 2021","14","","[USUÁRIOS] :: Listar Usuários","","","","/GET - Listar usuários cadastrados pelo _id",""
"passed","Thu May 06 23:32:25 GMT 2021","Thu May 06 23:32:25 GMT 2021","14","","[CARRINHOS] :: Listar Carrinhos","","","","/GET - Listar carrinhos cadastrados pela quantidade total inválido",""
